age;player_height;player_weight;college;country;draft_year;draft_round
29;205.74;108.86208;Xavier;USA;1990;2
35;193.04;93.439952;Illinois;USA;1983;1
22;185.42;90.7184;Arkansas-Little Rock;USA;1996;1
28;203.2;106.59412;Georgia Tech;USA;1990;1
36;198.12;99.79024;Southeastern Oklahoma State;USA;1986;2
27;200.66;106.59412;Nevada-Las Vegas;USA;Undrafted;Undrafted
27;193.04;83.91452;Nevada-Las Vegas;USA;Undrafted;Undrafted
27;190.5;86.18248;La Salle;USA;1991;2
27;190.5;92.98636;Pacific;USA;Undrafted;Undrafted
29;213.36;108.86208;Temple;USA;1990;1
30;198.12;99.79024;Villanova;USA;1989;2
23;190.5;95.25432;Nebraska;USA;Undrafted;Undrafted
21;210.82;120.20188;Mississippi State;USA;1996;1
24;203.2;99.79024;Providence;USA;1995;1
24;190.5;90.7184;Michigan State;USA;1995;2
26;200.66;97.52228;Nebraska;USA;1994;1
29;185.42;86.18248;Providence;USA;1991;1
27;210.82;106.59412;Pittsburgh;USA;1994;1
31;210.82;120.20188;Wyoming;USA;1988;1
34;190.5;80.285784;Alabama;USA;1983;1
28;195.58;87.996848;Delaware State;USA;Undrafted;Undrafted
25;213.36;122.46984;North Carolina;USA;1994;1
27;182.88;77.11064;Notre Dame;USA;1992;2
32;200.66;97.52228;Georgia Tech;USA;Undrafted;Undrafted
27;213.36;122.46984;Nevada-Las Vegas;USA;1992;1
39;205.74;95.25432;Detroit Mercy;USA;1979;3
24;203.2;100.697424;UCLA;USA;1995;1
34;205.74;108.86208;Villanova;USA;1985;1
28;215.9;117.93392;Florida;USA;1990;1
25;198.12;86.18248;Temple;USA;1994;1
28;213.36;113.398;Clemson;USA;1990;1
29;193.04;86.18248;Washington;USA;1992;Undrafted
28;182.88;72.57472;Memphis;USA;1991;2
38;200.66;97.52228;Illinois;USA;1981;2
22;190.5;95.25432;California;USA;1997;1
24;203.2;116.119552;Cincinnati;USA;1994;2
25;205.74;104.32616;Connecticut;USA;1994;1
28;198.12;92.98636;Pepperdine;USA;1992;1
28;190.5;86.18248;La Salle;USA;1991;2
31;198.12;90.7184;Villanova;USA;1989;2
25;195.58;86.636072;Georgia Tech;USA;1996;2
30;213.36;108.86208;Temple;USA;1990;1
33;200.66;97.52228;Georgia Tech;USA;Undrafted;Undrafted
26;213.36;119.748288;Arizona;USA;1993;2
24;193.04;86.18248;Alabama;USA;1997;2
26;198.12;90.7184;Temple;USA;1994;1
29;213.36;115.66596;Clemson;USA;1990;1
30;193.04;86.18248;Washington;USA;1992;Undrafted
29;182.88;68.945984;Memphis;USA;1991;2
29;195.58;88.45044;Delaware State;USA;Undrafted;Undrafted
26;213.36;122.46984;North Carolina;USA;1994;1
30;185.42;90.7184;Providence;USA;1991;1
